1 , 12914 , 12914
2 , 15320 , 15320
3 , 14529 , 14529
4 , 1159 , 1159
5 , 1647 , 1647
6 , 2705 , 2705
7 , 2186 , 2186
8 , 1653 , 1653
9 , 2345 , 2345
10 , 2196 , 2196
11 , 3522 , 3522
12 , 1613 , 1613
13 , 2343 , 2343
14 , 4572 , 4572
15 , 9033 , 9033
16 , 1989 , 1989
17 , 4247 , 4247
18 , 4052 , 4052
19 , 2716 , 2716
20 , 2713 , 2713
21 , 2714 , 2714
22 , 2715 , 2715
23 , 2726 , 2726
24 , 2712 , 2712
25 , 2724 , 2724
26 , 9789 , 9789
27 , 9790 , 9790
28 , 9791 , 9791
29 , 9792 , 9792
30 , 1063 , 1063
31 , 2719 , 2719
32 , 5 , 5
33 , 4084 , 4084
34 , 4081 , 4081
35 , 4082 , 4082
36 , 4083 , 4083
37 , 4541 , 4541
38 , 14512 , 14512
39 , 15203 , 15203
40 , 12937 , 12937
41 , 13894 , 13894
42 , 15811 , 15811
43 , 14768 , 14768
44 , 14589 , 14589
45 , 13386 , 13386
46 , 13629 , 13629
47 , 13495 , 13495
48 , 14436 , 14436
49 , 13795 , 13795
50 , 14595 , 14595
51 , 13506 , 13506
52 , 14519 , 14519
53 , 15816 , 15816
54 , 20927 , 20927
55 , 13485 , 13485
56 , 13639 , 13639
57 , 13340 , 13340
58 , 14757 , 14757
59 , 13575 , 13575
60 , 13655 , 13655
61 , 15661 , 15661
62 , 68275 , 68275
63 , 12519 , 12519
64 , 13568 , 13568
65 , 4468 , 4468
66 , 34105 , 34105
67 , 34339 , 34339
68 , 33735 , 33735
69 , 34182 , 34182
70 , 34183 , 34183
71 , 12931 , 12931
72 , 13169 , 13169
73 , 14524 , 14524
74 , 78 , 78
75 , 75 , 75
76 , 76 , 76
77 , 77 , 77
78 , 12524 , 12524
79 , 13707 , 13707
80 , 15529 , 15529
81 , 13339 , 13339
82 , 14553 , 14553
83 , 13698 , 13698
84 , 15154 , 15154
85 , 13703 , 13703
86 , 13118 , 13118
87 , 13490 , 13490
88 , 13441 , 13441
89 , 14516 , 14516
90 , 15240 , 15240
91 , 12638 , 12638
92 , 12513 , 12513
93 , 13902 , 13902
94 , 13502 , 13502
95 , 13486 , 13486
96 , 14349 , 14349
97 , 13843 , 13843
98 , 12520 , 12520
99 , 15854 , 15854
100 , 14532 , 14532
101 , 13178 , 13178
102 , 14591 , 14591
103 , 4382 , 4382
104 , 1648 , 1648
105 , 9663 , 9663
